LShoulder_x,LShoulder_y,RShoulder_x,RShoulder_y,LElbow_x,LElbow_y,RElbow_x,RElbow_y,LWrist_x,LWrist_y,RWrist_x,RWrist_y,LHip_x,LHip_y,RHip_x,RHip_y,Hip_x,Hip_y,LKnee_x,LKnee_y,RKnee_x,RKnee_y,LAnkle_x,LAnkle_y,RAnkle_x,RAnkle_y,LHeel_x,LHeel_y,RHeel_x,RHeel_y,LBigToe_x,LBigToe_y,RBigToe_x,RBigToe_y,crossfit_label,session_id
631.2366867,377.0893192,557.8253937,375.8222008,641.2007141,435.9538078,545.4855347,432.6653337,637.3001862,485.1692104,543.1157684,486.6511631,614.9504852,493.7735224,570.9468842,490.9675455,592.9486847,492.3705339,619.5227051,564.4903708,565.4841232,563.0651951,623.9722824,635.0817776,556.2287521,637.3498106,623.3991241,647.1593142,558.9987946,646.8032026,630.6060028,655.8726311,547.2227859,659.5663548,0,5
631.8212891,377.2290087,557.8650665,375.683713,641.138916,436.6430712,545.54039,432.7746391,637.6206207,485.7469368,543.0905151,486.7504692,615.2397919,491.7365026,570.9608841,490.1861429,593.100338,490.9613228,619.6407318,564.1612959,565.1340485,563.4463692,625.1062775,635.3327036,556.2779999,637.2372437,623.8378906,646.6547155,558.72509,645.8047342,630.7385254,655.8809137,548.0158234,659.4209146,0,5
632.0035934,377.2664309,557.9708099,375.6643152,641.3483429,436.6116142,545.7077026,432.7955818,638.6414719,485.7185268,543.1157303,486.757164,615.3682709,490.7885885,571.0201263,489.881916,593.1941986,490.3352523,619.915657,563.7302971,564.9834061,563.4030247,625.4719925,635.3386259,556.2113571,636.2109232,623.8350677,646.3982534,558.6183548,643.9137554,631.5367889,655.8309174,548.1301117,659.0862608,0,5
632.0835495,377.259264,558.0184937,375.6462908,641.4732361,436.2394524,545.8308792,432.9166031,640.0294495,485.7139778,543.4568405,486.8536806,615.4713821,490.1854992,571.0902786,489.6236086,593.2808304,489.9045539,620.1644135,563.302002,564.901619,563.3898497,625.9209442,635.2945518,556.1749268,636.0656548,624.1995239,646.1653948,558.5748291,643.3799314,631.8709183,655.6647921,548.727417,658.8648176,0,5
632.1063995,377.1833467,558.1223679,375.623374,641.8864441,435.9190464,545.9609222,432.9660416,641.9041443,485.7196426,543.8462448,486.9799376,615.5815506,489.6082878,571.2327957,489.1170359,593.4071732,489.3626618,620.3458405,562.6084471,564.9055862,563.2923031,625.9319305,635.2928352,556.1839676,636.0708475,624.1445923,646.1690855,558.6024857,643.4235764,632.3239899,655.3533125,548.8187408,658.7775707,0,5
632.1295166,377.1611595,558.1754684,375.5929899,642.2180176,435.7556248,545.9730911,432.9987001,643.7640381,485.8910465,544.1741943,486.9447899,615.7393265,489.2790413,571.3872528,488.7825537,593.5632896,489.0307975,620.5854416,562.1580935,564.9061966,562.9005289,625.9595871,634.8520088,556.2183762,635.3355789,623.87043,645.5758667,558.650322,642.8009605,633.7117386,655.1634979,548.8108063,657.8207302,0,5
632.1335602,377.0729256,558.2173538,375.5684853,642.8565979,434.8965883,545.9843063,433.0019188,645.7524109,485.9094572,544.4606781,486.9480944,615.9462357,489.1015863,571.5686035,488.5627842,593.7574196,488.8321853,620.888443,562.1679211,564.8981857,562.9287672,626.05793,634.6271324,556.218338,635.3636885,623.8472366,645.1401472,558.6431885,642.9107809,634.0771484,655.1144886,548.3570099,657.5477457,0,5
632.1313477,376.9957638,558.2317352,375.5245829,643.405304,434.5391893,546.0301971,432.9707193,646.845932,485.9213018,544.7159576,486.8403769,616.0337067,488.854866,571.5773392,488.4464407,593.8055229,488.6506534,621.1639404,562.1544886,564.9030304,562.9505682,626.1224365,634.3907547,556.2150955,635.4893875,623.8190842,644.8308563,558.5697174,642.970562,634.397583,654.5771027,548.405838,657.5655556,0,5
632.130661,376.7633772,558.2384109,375.4198265,643.7913513,433.8208723,546.1209869,432.7301788,647.4423981,485.9701395,544.8134613,486.3777924,616.0434723,488.6102057,571.5539551,488.0504608,593.7987137,488.3303332,621.1808014,562.1588659,564.7763824,562.9994917,626.0753632,634.305954,556.2107468,635.3920984,623.7318802,644.8191404,558.4521484,642.75002,634.0297699,654.297595,548.5770798,657.5022984,0,5
632.1300507,376.6099977,558.2630157,375.3178596,643.9040375,433.4640312,546.1353302,432.5353432,647.759552,486.001296,544.9052811,486.1824846,616.0528564,488.5015011,571.5317917,487.8721476,593.7923241,488.1868243,621.1805344,562.1831131,564.6554565,563.0058432,626.0701752,634.2680168,556.0747147,635.1531887,623.7290192,644.8316717,558.2144165,642.6132917,633.2224655,654.1178656,548.2512283,657.1227551,0,5
632.1241379,376.5675545,558.2831955,375.2560186,643.900528,433.3412075,546.1884308,432.4430752,647.7822113,486.0190201,544.970932,486.0429668,616.0554886,488.4764814,571.4421844,487.8542948,593.7488365,488.1653881,621.1088943,562.3002291,564.4828033,563.0391026,625.9479904,634.2763853,555.7965088,635.168767,623.5831451,645.0609255,557.7425385,642.6630306,632.5603485,653.9014864,548.0032349,657.0697117,0,5
632.1234131,376.5888405,558.3101273,375.1978254,643.9152527,433.3659697,546.2638474,432.3116684,647.8777313,485.8822489,545.0233078,485.8561134,616.0480881,488.4700871,571.3321686,487.8488874,593.6901283,488.1594872,621.0916138,562.4495316,564.3994904,563.0447245,625.892334,634.2658281,555.7071686,635.2171755,623.52314,645.179801,557.5043488,643.0310726,632.4355316,653.2215786,548.2334518,657.0192432,0,5
632.1218872,376.5809011,558.3419037,375.1619053,643.9060974,433.3857536,546.2812042,432.3090076,647.6165771,486.047473,544.9840546,485.7885218,615.9645462,488.3816385,571.2899017,487.8144693,593.627224,488.0980539,621.0812378,562.4576426,564.3550491,563.0695724,625.8931351,634.0922356,555.6059647,635.2674723,623.5291672,645.1861095,557.3365021,643.3045721,632.4018478,652.5257492,548.1794357,656.9883013,0,5
632.1257401,376.5466118,558.371048,375.1374435,643.9428711,433.3918047,546.3713837,432.3827362,647.4627686,486.0489321,544.9188232,485.7880926,615.9660721,488.3525848,571.2955856,487.809577,593.6308289,488.0810809,621.0754395,562.4919319,564.3140411,563.0711174,625.91362,633.9564085,555.5083084,635.2804756,623.5698318,645.179801,557.2160721,643.3400202,632.3477173,652.3155499,548.0846024,656.8995953,0,5
632.1662521,376.5418053,558.4050751,375.1215649,643.9543152,433.4149361,546.4130402,432.4829006,646.9475555,485.9606123,544.8677826,485.8356428,616.071167,488.3634853,571.3439178,487.8177309,593.7075424,488.0906081,621.0614014,562.6117516,564.2954254,562.9908657,625.9464645,633.8113546,555.4214478,635.2526665,623.6286163,645.1829338,557.1458817,643.3638811,632.2863007,652.0446253,547.7966309,656.7945385,0,5
632.2167969,376.5646791,558.446846,375.0906229,643.9526367,433.9139986,546.4863205,432.4819136,645.0418854,485.9913397,544.8630524,485.8242702,616.0737991,488.3699226,571.349411,487.859745,593.7116051,488.1148338,621.0596466,562.7571487,564.2775726,562.9969597,625.9759521,633.6808062,555.3654099,635.1345205,623.6470795,645.1388597,557.1188354,643.2077551,632.2841644,651.971755,547.7373505,656.7705059,0,5
632.2779083,376.6478062,558.5448074,375.0867176,643.7804413,434.4321156,546.5706635,432.4840593,642.9363251,485.9723711,544.8619461,485.7804966,616.1818314,488.3742571,571.4751053,487.9231739,593.8284683,488.1487155,621.0580444,562.7827692,564.2786407,563.004899,625.9746552,633.684926,555.3606415,635.1405716,623.6426544,645.2577353,557.1298981,643.3311367,632.1551514,651.9090986,547.6093674,656.5857553,0,5
